# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.010001   20043   20113     -2.94      1090    1262
    2    0.0300009   19959   19850     -2.82       871    1063
    3    0.0500008   20015   19935      -2.7      1234    1351
    4    0.0700005   20042   20004     -2.58      1730    1752
    5    0.0900002   20000   19978     -2.46      2240    2399
    6     0.11   20090   20004     -2.34      3107    3033
    7     0.13   20055   20108     -2.22      3964    4062
    8     0.15   20194   20084      -2.1      5382    5326
    9     0.17   19939   19964     -1.98      6704    6668
   10     0.19   19735   20123     -1.86      8637    8455
   11     0.21   20083   20120     -1.74     10462   10623
   12     0.23   20062   20095     -1.62     12836   12808
   13     0.25   19822   19741      -1.5     15616   15352
   14     0.27   20231   20050     -1.38     18442   18457
   15     0.29   19845   19860     -1.26     21653   21759
   16     0.31   20083   20023     -1.14     25029   24924
   17     0.33   19894   19966     -1.02     28399   28659
   18     0.35   19766   19853      -0.9     31879   32067
   19     0.37   19901   20005     -0.78     35418   35205
   20     0.39   19904   19935     -0.66     38291   38565
   21     0.41   20207   20095     -0.54     41370   41347
   22     0.43   19967   19805     -0.42     43998   43841
   23     0.45   20187   20026      -0.3     45568   45588
   24     0.47   20076   20220     -0.18     46914   47287
   25     0.49   19796   19788     -0.06     47544   47628
   26     0.51   20017   19871      0.06     47987   47723
   27     0.53   19931   19876      0.18     46896   46938
   28     0.55   20011   20274       0.3     45654   45635
   29     0.57   20010   20099      0.42     43911   44259
   30     0.59   19984   19716      0.54     41462   41441
   31     0.61   20275   20230      0.66     38676   38573
   32     0.63   20030   19919      0.78     35488   35494
   33     0.65   19759   19924       0.9     31871   31943
   34     0.67   19967   19920      1.02     28563   28180
   35     0.69   20018   19881      1.14     25072   24844
   36     0.71   19884   20302      1.26     21654   21768
   37     0.73   20007   20077      1.38     18618   18546
   38     0.75   19796   19990       1.5     15434   15504
   39     0.77   20273   20170      1.62     12847   12811
   40     0.79   20266   19940      1.74     10545   10449
   41     0.81   20116   20252      1.86      8620    8555
   42     0.83   19930   19894      1.98      6766    6883
   43     0.85   20044   20152       2.1      5416    5280
   44     0.87   19931   19856      2.22      4158    4102
   45     0.89   19956   19852      2.34      3074    3169
   46     0.91   19876   20254      2.46      2292    2350
   47     0.93   19943   20127      2.58      1702    1674
   48     0.95   20223   20102       2.7      1306    1236
   49     0.97   19972   19817      2.82       954     871
   50     0.99   19885   20146      2.94       809     673
